category,Region,price,rating,Income,review_count
American,WC,2,3.5,36631.0,271
American,WC,2,3.5,49026.0,797
American,WC,2,3.5,50079.0,2356
American,WC,2,3.5,66754.0,291
American,WC,2,3.5,80185.0,13070
American,WC,2,4.0,36631.0,358
American,WC,2,4.0,47255.0,21
American,WC,2,4.0,49026.0,947
American,WC,2,4.0,50079.0,5905
American,WC,2,4.0,66754.0,183
American,WC,2,4.0,80185.0,10026
American,WC,2,4.5,36631.0,184
American,WC,2,4.5,47255.0,24
American,WC,2,4.5,49026.0,15
American,WC,2,4.5,50079.0,662
American,WC,2,4.5,66754.0,187
American,WC,2,4.5,80185.0,1032
American,WC,2,5.0,49026.0,3
American,WC,2,5.0,50079.0,13
American,WC,3,2.5,50079.0,13
American,WC,3,3.5,44620.0,7
American,WC,3,3.5,49026.0,303
American,WC,3,3.5,50079.0,45
American,WC,3,4.0,49026.0,145
American,WC,3,4.0,50079.0,515
American,WC,3,4.0,80185.0,1448
American,WC,3,4.5,50079.0,439
Chinese,MW,1,1.5,47137.0,3
Chinese,MW,1,1.5,50378.0,10
Chinese,MW,1,2.0,41777.0,6
Chinese,MW,1,2.0,43625.0,11
Chinese,MW,1,2.0,47137.0,11
Chinese,MW,1,2.0,67465.0,51
Chinese,MW,1,2.5,41777.0,14
Chinese,MW,1,2.5,47137.0,31
Chinese,MW,1,2.5,52341.0,69
Chinese,MW,1,2.5,55653.0,18
Chinese,MW,1,2.5,55975.0,6
Chinese,MW,1,2.5,67465.0,39
Chinese,MW,1,3.0,41777.0,15
Chinese,MW,1,3.0,43625.0,13
Chinese,MW,1,3.0,47137.0,15
Chinese,MW,1,3.0,50378.0,22
Chinese,MW,1,3.0,52341.0,336
Chinese,MW,1,3.0,55653.0,11
Chinese,MW,1,3.0,67465.0,47
Chinese,MW,1,3.0,69237.0,12
Chinese,MW,1,3.5,41777.0,11
Chinese,MW,1,3.5,43625.0,9
Chinese,MW,1,3.5,47137.0,24
Chinese,MW,1,3.5,50378.0,30
Chinese,MW,1,3.5,52341.0,638
Chinese,MW,1,3.5,55653.0,26
Chinese,MW,1,3.5,67465.0,119
Chinese,MW,1,3.5,69237.0,11
