,name,zipcode,county_string,rating,review_count,category,price
199,Patra Indian Grill,94598,"Contra Costa County, California",4.5,138,Indian,$$
200,Anarkali,94520,"Contra Costa County, California",4.5,158,Indian,$
201,Naan n Curry,94520,"Contra Costa County, California",4.0,982,Indian,$
202,Swagat Indian Cuisine,94520,"Contra Costa County, California",4.0,440,Indian,$$
203,Himalayan Cuisine,94520,"Contra Costa County, California",4.0,392,Indian,$$
204,Mehran Restaurant,94565,"Contra Costa County, California",4.0,256,Indian,$$
205,Sargam Indian Cuisine,94596,"Contra Costa County, California",4.0,379,Indian,$$
206,Swad Indian Cuisine,94549,"Contra Costa County, California",4.0,105,Indian,$$
207,Bombay Indian Restaurant,94596,"Contra Costa County, California",3.5,304,Indian,$$
208,India 4 U,94531,"Contra Costa County, California",3.5,321,Indian,$$
209,Saroor Indian Cuisine,94597,"Contra Costa County, California",4.0,345,Indian,$$
210,Zaiqa Indian and Pakistani Cuisine,94547,"Contra Costa County, California",4.5,135,Indian,$$
211,T's Firehouse Indian Cuisine & Sports Bar,94549,"Contra Costa County, California",3.5,170,Indian,$$
212,Tandoor Restaurant,94564,"Contra Costa County, California",4.0,401,Indian,$$
213,Johnny Carino's,83301,"Twin Falls County, Idaho",3.0,46,Italian,$$
214,Tomato's Italian Grill,83301,"Twin Falls County, Idaho",3.0,64,Italian,$$
215,Maxie's Pizza & Pasta of Kimberly,83341,"Twin Falls County, Idaho",4.5,7,Italian,$
216,Train Station Pizza,83316,"Twin Falls County, Idaho",4.0,5,Italian,$
217,Pizza Hut,83301,"Twin Falls County, Idaho",3.0,2,Italian,$$
218,Tomato's Jr.,83341,"Twin Falls County, Idaho",5.0,1,Italian,$
219,PK Pasta Palace,83316,"Twin Falls County, Idaho",2.5,2,Italian,$$
220,Pizza Hut,83301,"Twin Falls County, Idaho",2.0,10,Italian,$$
221,Jarritos Mexican Restaurant,83301,"Twin Falls County, Idaho",4.5,59,Mexican,$$
222,Janitzio's,83301,"Twin Falls County, Idaho",4.0,32,Mexican,$$
223,La Plaza,83316,"Twin Falls County, Idaho",4.5,29,Mexican,$
224,Juanitas Tacos and More,83301,"Twin Falls County, Idaho",5.0,9,Mexican,$
225,Mi Tierra,83301,"Twin Falls County, Idaho",4.5,6,Mexican,$$
226,La Fiesta Mexican Restaurant,83301,"Twin Falls County, Idaho",3.5,76,Mexican,$$
227,Peking Restaurant,83301,"Twin Falls County, Idaho",3.5,29,Chinese,$$
228,Kim Long Restaurant,83316,"Twin Falls County, Idaho",4.0,5,Chinese,$
229,Wok n Grill,83301,"Twin Falls County, Idaho",2.5,40,Chinese,$$
230,Loong Hing Restaurant,83301,"Twin Falls County, Idaho",2.5,10,Chinese,$$
231,Tse Restaurant,83301,"Twin Falls County, Idaho",3.0,13,Chinese,$
232,Mandarin House,83301,"Twin Falls County, Idaho",2.5,27,Chinese,$$
233,New China Buffet,83301,"Twin Falls County, Idaho",2.5,7,Chinese,$
234,Panda Express,83301,"Twin Falls County, Idaho",2.5,10,Chinese,$
235,China Dragon,83316,"Twin Falls County, Idaho",4.0,1,Chinese,$
236,Buffalo Cafe,83301,"Twin Falls County, Idaho",4.5,213,American (Traditional),$
237,Scooter's,83301,"Twin Falls County, Idaho",4.5,127,American (Traditional),$$
238,Elevation 486,83301,"Twin Falls County, Idaho",4.0,268,American (New),$$
239,Bl?,83301,"Twin Falls County, Idaho",4.0,32,American (New),$$
240,Burnt Lemon Grill,83301,"Twin Falls County, Idaho",4.0,56,American (New),$
241,Guppies Hot Rod Grille,83301,"Twin Falls County, Idaho",4.0,54,American (New),$$
242,Anchor Bistro & Bar,83301,"Twin Falls County, Idaho",3.5,40,American (New),$$
243,Cactus Grill,83341,"Twin Falls County, Idaho",4.0,16,American (New),$$
244,Idaho Joes,83301,"Twin Falls County, Idaho",3.5,63,American (New),$
245,Little India,83301,"Twin Falls County, Idaho",4.5,41,Indian,$$
246,Asian Food Market,83301,"Twin Falls County, Idaho",5.0,3,Indian,$
247,Mark O's,61326,"Putnam County, Illinois",4.0,2,Italian,$$
248,Clover Club,61340,"Putnam County, Illinois",4.5,2,American (Traditional),$$
249,Rockbridge Rainbow Trout and Game Ranch,65741,"Ozark County, Missouri",3.0,5,American (Traditional),$$
250,Rooster's,79092,"Oldham County, Texas",4.5,28,Mexican,$
251,The Windy Cow Cafe and Dessert Bar,79098,"Oldham County, Texas",5.0,21,American (Traditional),$$
252,Chuck's Stage Stop Restaurant,85356,"Yuma County, Arizona",4.5,13,Italian,$$
253,Da Boyz,85364,"Yuma County, Arizona",4.0,209,Italian,$$
254,Ronnie's Pizza,85364,"Yuma County, Arizona",4.0,100,Italian,$$
255,Olive Garden Italian Restaurant,85366,"Yuma County, Arizona",3.5,74,Italian,$$
256,Rocky's Pizzeria & Italian Foods,85364,"Yuma County, Arizona",4.0,40,Italian,$
257,Da Boyz Italian Cuisine,85365,"Yuma County, Arizona",3.0,64,Italian,$$
258,Round Table Pizza,85364,"Yuma County, Arizona",3.5,30,Italian,$$
259,Village Inn Pizza Parlor,85364,"Yuma County, Arizona",3.5,33,Italian,$$
260,Pizza Hut,85365,"Yuma County, Arizona",3.5,11,Italian,$$
261,Burgers & Beer,85364,"Yuma County, Arizona",3.0,124,Italian,$$
262,Pizza Hut,85367,"Yuma County, Arizona",2.0,21,Italian,$
263,Little Caesars,85364,"Yuma County, Arizona",2.5,2,Italian,$
264,Pizza Hut,85364,"Yuma County, Arizona",2.5,14,Italian,$
265,Wellton Burrito Factory,85356,"Yuma County, Arizona",4.5,26,Mexican,$
266,Geronimo's,85356,"Yuma County, Arizona",3.5,15,Mexican,$$
267,Tacos El Cositas,85365,"Yuma County, Arizona",4.5,98,Mexican,$
268,Sesame's Kitchen,85367,"Yuma County, Arizona",3.5,41,Chinese,$
269,Oriental House,85364,"Yuma County, Arizona",3.5,69,Chinese,$$
270,Asian Star,85364,"Yuma County, Arizona",3.5,107,Chinese,$$
271,Lin's Grand Buffet,85365,"Yuma County, Arizona",4.0,25,Chinese,$$
272,Mandarin Garden,85367,"Yuma County, Arizona",3.0,13,Chinese,$
273,Li-S Restaurant,85349,"Yuma County, Arizona",4.5,4,Chinese,$
274,Yummy Yummy,85364,"Yuma County, Arizona",3.0,21,Chinese,$
275,Lin's Grand Buffet,85365,"Yuma County, Arizona",3.0,58,Chinese,$$
276,Panda Express,85364,"Yuma County, Arizona",2.5,14,Chinese,$$
277,Rice King,85365,"Yuma County, Arizona",3.0,4,Chinese,$
278,Panda Express,85365,"Yuma County, Arizona",2.5,19,Chinese,$
279,Chuck's Stage Stop Restaurant,85356,"Yuma County, Arizona",4.5,13,American (Traditional),$$
280,Ligurta Station,85356,"Yuma County, Arizona",4.5,11,American (Traditional),$
281,Jac’s Whistle Stop Cafe,85352,"Yuma County, Arizona",4.5,22,American (Traditional),$
282,Basque Etchea,85352,"Yuma County, Arizona",4.5,7,American (New),$$
283,River City Grill,85364,"Yuma County, Arizona",4.0,221,American (New),$$
284,2FIFTY1 Downtown,85364,"Yuma County, Arizona",4.0,28,American (New),$$
285,Rob's Grill & Catering,85367,"Yuma County, Arizona",4.0,15,American (New),$$
286,Crouse's Flat Top Grill,85364,"Yuma County, Arizona",4.5,85,American (New),$$
287,Fat Harveys,85364,"Yuma County, Arizona",3.5,11,American (New),$
288,The Patio Restaurant,85365,"Yuma County, Arizona",3.5,96,American (New),$$
289,Market Grill: Steak and Seafood,85365,"Yuma County, Arizona",3.5,52,American (New),$$
290,Del Taco,85365,"Yuma County, Arizona",3.5,3,American (New),$
291,Julieanna's Patio Cafe,85364,"Yuma County, Arizona",3.5,130,American (New),$$
292,Yuma Landing Bar & Grill,85364,"Yuma County, Arizona",3.0,61,American (New),$$
293,Hawaiian BBQ,85365,"Yuma County, Arizona",3.0,44,American (New),$
294,Gianni's Trattoria,28025,"Cabarrus County, North Carolina",4.0,103,Italian,$$
295,Nonna's Pizza,28027,"Cabarrus County, North Carolina",4.0,30,Italian,$$
296,Brooklyn's Pizzeria,28025,"Cabarrus County, North Carolina",4.0,60,Italian,$
297,Basilico Italiano,28027,"Cabarrus County, North Carolina",3.5,55,Italian,$$
298,Garofola's Italiano,28027,"Cabarrus County, North Carolina",3.0,43,Italian,$$
299,Fiesta Mexicana Grill,28027,"Cabarrus County, North Carolina",4.5,66,Mexican,$
300,Los Cuates Mexican Restaurant,28027,"Cabarrus County, North Carolina",3.5,37,Mexican,$$
301,Andele Mexican Restaurant,28027,"Cabarrus County, North Carolina",4.0,75,Mexican,$
302,El Vaquero,28107,"Cabarrus County, North Carolina",4.0,32,Mexican,$$
303,La Unica,28075,"Cabarrus County, North Carolina",4.0,57,Mexican,$
304,Cinco de Mayo,28027,"Cabarrus County, North Carolina",4.0,89,Mexican,$
305,Los Arcos Mexican Restaurant,28083,"Cabarrus County, North Carolina",4.5,20,Mexican,$
306,El Amigo Mexican Restaurant,28083,"Cabarrus County, North Carolina",4.0,37,Mexican,$$
307,Casa Grande Mexican Restaurant,28027,"Cabarrus County, North Carolina",4.0,30,Mexican,$
308,Mexicasa Restaurant and Grill,28075,"Cabarrus County, North Carolina",3.5,43,Mexican,$$
309,Mi Pueblo Mexican Grill,28027,"Cabarrus County, North Carolina",3.0,69,Mexican,$$
310,Restaurant Y Taqueria Acapulco,28083,"Cabarrus County, North Carolina",4.0,21,Mexican,$
311,El Vallarta,28025,"Cabarrus County, North Carolina",3.5,34,Mexican,$
312,Casa Grande Mexican Restaurant,28083,"Cabarrus County, North Carolina",3.5,24,Mexican,$
313,China Garden,28025,"Cabarrus County, North Carolina",4.0,17,Chinese,$
314,Southern China,28025,"Cabarrus County, North Carolina",4.0,11,Chinese,$
315,Royal Dragon Chinese Food,28027,"Cabarrus County, North Carolina",3.5,23,Chinese,$
316,Chong Chin Chinese Restaurant,28075,"Cabarrus County, North Carolina",3.5,20,Chinese,$
317,Crispys Bar And Grill,28083,"Cabarrus County, North Carolina",4.5,90,American (Traditional),$$
318,Conversation Peace Restaurant Bar & Grill,28025,"Cabarrus County, North Carolina",3.5,19,American (Traditional),$$
319,Terry's Kitchen,28107,"Cabarrus County, North Carolina",5.0,4,American (Traditional),$
320,Brickhouse Grill,28025,"Cabarrus County, North Carolina",4.0,16,American (Traditional),$
321,The Grill at 11 Union,28025,"Cabarrus County, North Carolina",4.5,11,American (Traditional),$
